TITLE="Integrated loads convergence history"
VARIABLES="R-time", "P-Time", "Fn_x", "Fn_y", "Fn_z", "Mn_x", "Mn_y", "Mn_z", "Ft_x", "Ft_y", "Ft_z", "Mt_x", "Mt_y", "Mt_z"
ZONE T="WALL"
      7     20  0.25984511E-04  0.50850853E-04  0.13360117E-02  0.10473377E-02 -0.15393748E-02  0.42537811E-04 -0.12067787E-03  0.11078853E-04 -0.17993718E-04 -0.12408128E-04  0.19727408E-04  0.96588150E-04
      7     30 -0.78505874E-05  0.54302034E-04  0.15058488E-02  0.11533596E-02 -0.17129116E-02  0.68039434E-04 -0.11752358E-03  0.10870034E-04 -0.17569514E-04 -0.12105015E-04  0.19254456E-04  0.94165134E-04
      7     40 -0.21047417E-04  0.54728533E-04  0.15337279E-02  0.11700458E-02 -0.17409755E-02  0.78283330E-04 -0.11384382E-03  0.10730918E-04 -0.17062465E-04 -0.11746523E-04  0.18689791E-04  0.91435285E-04
      7     50 -0.19047446E-04  0.53746812E-04  0.15340207E-02  0.11696373E-02 -0.17418229E-02  0.76353048E-04 -0.11042934E-03  0.10603181E-04 -0.16557173E-04 -0.11392080E-04  0.18131258E-04  0.88898396E-04
      8     10 -0.17584806E-04  0.53827483E-04  0.15341604E-02  0.11665934E-02 -0.17624184E-02  0.76070325E-04 -0.10961285E-03  0.12483709E-04 -0.16464821E-04 -0.11308536E-04  0.18226817E-04  0.90411609E-04
      8     20 -0.23387508E-04  0.54569897E-04  0.15752453E-02  0.11919452E-02 -0.18057634E-02  0.80703369E-04 -0.10832331E-03  0.12375215E-04 -0.16096391E-04 -0.11057761E-04  0.17825548E-04  0.89390550E-04
      8     30 -0.69674948E-04  0.60036821E-04  0.18314200E-02  0.13555364E-02 -0.20761821E-02  0.11779754E-03 -0.10584061E-03  0.12198963E-04 -0.15842829E-04 -0.10873421E-04  0.17535535E-04  0.87470446E-04
      8     40 -0.82776251E-04  0.60488750E-04  0.18613966E-02  0.13737456E-02 -0.21079661E-02  0.12850006E-03 -0.10293491E-03  0.12066521E-04 -0.15459807E-04 -0.10601338E-04  0.17103024E-04  0.85290785E-04
      8     50 -0.80792186E-04  0.59486589E-04  0.18579929E-02  0.13713617E-02 -0.21051653E-02  0.12634324E-03 -0.10021425E-03  0.11945125E-04 -0.15061075E-04 -0.10321822E-04  0.16656786E-04  0.83248093E-04
      9     10 -0.79295601E-04  0.60640122E-04  0.18575936E-02  0.13675902E-02 -0.21287560E-02  0.12719842E-03 -0.99497673E-04  0.13659804E-04 -0.14985239E-04 -0.10248795E-04  0.16751185E-04  0.84675766E-04
      9     20 -0.86089178E-04  0.61587535E-04  0.19035967E-02  0.13967221E-02 -0.21785418E-02  0.13275805E-03 -0.98466947E-04  0.13575819E-04 -0.14632898E-04 -0.10008994E-04  0.16362505E-04  0.83862392E-04
      9     30 -0.13174042E-03  0.67744228E-04  0.21710935E-02  0.15688810E-02 -0.24674326E-02  0.17042573E-03 -0.96440092E-04  0.13419853E-04 -0.14473146E-04 -0.98907540E-05  0.16175262E-04  0.82280934E-04
      9     40 -0.14110311E-03  0.68081820E-04  0.21940995E-02  0.15830454E-02 -0.24930724E-02  0.17847574E-03 -0.94073804E-04  0.13284620E-04 -0.14176225E-04 -0.96802504E-05  0.15835966E-04  0.80475856E-04
      9     50 -0.13912215E-03  0.67343626E-04  0.21860785E-02  0.15780814E-02 -0.24853044E-02  0.17649758E-03 -0.91847412E-04  0.13169238E-04 -0.13848866E-04 -0.94503231E-05  0.15465109E-04  0.78787597E-04
     10     10 -0.13754765E-03  0.69607350E-04  0.21849575E-02  0.15732399E-02 -0.25117217E-02  0.17856328E-03 -0.91196600E-04  0.14757306E-04 -0.13785777E-04 -0.93850213E-05  0.15557759E-04  0.80145968E-04
     10     20 -0.14332026E-03  0.70567016E-04  0.22236896E-02  0.15981602E-02 -0.25546113E-02  0.18347605E-03 -0.90343973E-04  0.14695041E-04 -0.13491546E-04 -0.91845335E-05  0.15227765E-04  0.79481019E-04
     10     30 -0.17836237E-03  0.76087226E-04  0.24453168E-02  0.17412518E-02 -0.27990368E-02  0.21312676E-03 -0.88645301E-04  0.14574977E-04 -0.13366439E-04 -0.90919625E-05  0.15079310E-04  0.78165622E-04
     10     40 -0.18239847E-03  0.76486157E-04  0.24570224E-02  0.17490066E-02 -0.28133692E-02  0.21730525E-03 -0.86675010E-04  0.14440233E-04 -0.13128423E-04 -0.89232155E-05  0.14804180E-04  0.76638405E-04
     10     50 -0.18036784E-03  0.76259082E-04  0.24444295E-02  0.17414108E-02 -0.28003791E-02  0.21589926E-03 -0.84814437E-04  0.14326442E-04 -0.12853039E-04 -0.87300860E-05  0.14488583E-04  0.75209575E-04
     11     10 -0.17865851E-03  0.79423627E-04  0.24427495E-02  0.17354342E-02 -0.28289861E-02  0.21895927E-03 -0.84206591E-04  0.15812410E-04 -0.12800725E-04 -0.86715659E-05  0.14580186E-04  0.76507769E-04
     11     20 -0.18221833E-03  0.80243931E-04  0.24679029E-02  0.17518466E-02 -0.28575316E-02  0.22227131E-03 -0.83478167E-04  0.15780811E-04 -0.12582053E-04 -0.85220793E-05  0.14330315E-04  0.75963870E-04
     11     30 -0.20260549E-03  0.84156239E-04  0.26163190E-02  0.18472675E-02 -0.30247347E-02  0.23998198E-03 -0.82027230E-04  0.15691638E-04 -0.12456725E-04 -0.84311847E-05  0.14181598E-04  0.74852873E-04
     11     40 -0.20187820E-03  0.84508589E-04  0.26170276E-02  0.18489095E-02 -0.30273736E-02  0.24050140E-03 -0.80356825E-04  0.15566686E-04 -0.12252092E-04 -0.82858504E-05  0.13942811E-04  0.73546639E-04
     11     50 -0.19961350E-03  0.84584393E-04  0.26022107E-02  0.18401643E-02 -0.30115253E-02  0.23936706E-03 -0.78775299E-04  0.15454894E-04 -0.12015789E-04 -0.81210660E-05  0.13669042E-04  0.72316612E-04
     12     10 -0.19774838E-03  0.88188886E-04  0.26003810E-02  0.18332833E-02 -0.30416192E-02  0.24291226E-03 -0.78198818E-04  0.16834150E-04 -0.11970435E-04 -0.80665814E-05  0.13757400E-04  0.73539805E-04
     12     20 -0.19894912E-03  0.88698045E-04  0.26116623E-02  0.18407636E-02 -0.30548749E-02  0.24431925E-03 -0.77568138E-04  0.16799490E-04 -0.11822143E-04 -0.79654062E-05  0.13584676E-04  0.73060867E-04
     12     30 -0.20582704E-03  0.90508355E-04  0.26852718E-02  0.18864381E-02 -0.31398893E-02  0.25032902E-03 -0.76319031E-04  0.16701569E-04 -0.11684396E-04 -0.78672887E-05  0.13421338E-04  0.72078626E-04
     12     40 -0.20194482E-03  0.90504653E-04  0.26782433E-02  0.18836567E-02 -0.31337473E-02  0.24803373E-03 -0.74885894E-04  0.16564800E-04 -0.11497821E-04 -0.77356930E-05  0.13202195E-04  0.70925024E-04
     12     50 -0.19942245E-03  0.90541165E-04  0.26648494E-02  0.18761836E-02 -0.31190739E-02  0.24671127E-03 -0.73526642E-04  0.16437686E-04 -0.11289752E-04 -0.75915924E-05  0.12958729E-04  0.69834182E-04
